Protocol,Seed,nNodes,nFlows,MaxPaths,InitEnergy_J,PktInterval_s,PDR,Throughput_kbps,Delay_ms,Jitter_ms,TxPkts,RxPkts,CtrlBytes,NRL,EnergyConsumed_J,EnergyPerPkt_J,LiveNodes,SweepParam
QS2MAODV,27,20,19,3,50.000000,0.100000,0.311085,13.093011,167.503113,77.379795,37022,11517,3263696,52.477915,744.196292,0.064617,20,0.92
QS2MAODV,29,20,19,3,50.000000,0.100000,0.483091,20.332421,50.839480,26.840567,37022,17885,758720,7.855952,729.857270,0.040808,20,0.92
QS2MAODV,28,20,19,3,50.000000,0.100000,0.206877,8.707074,288.311128,121.690411,37022,7659,2702274,65.337656,745.078263,0.097281,20,0.92
QS2MAODV,30,20,19,3,50.000000,0.100000,0.328723,13.835368,266.321177,120.350631,37022,12170,3278210,49.882985,738.343239,0.060669,20,0.92
QS2MAODV,1,20,19,3,50.000000,0.100000,0.232348,9.779116,175.393198,81.340622,37022,8602,2187140,47.085088,743.377568,0.086419,20,0.95
QS2MAODV,2,20,19,3,50.000000,0.100000,0.161174,7.160400,656.130295,293.344170,37022,5967,1533536,47.593120,743.947958,0.124677,20,0.95
QS2MAODV,5,20,19,3,50.000000,0.100000,0.430150,18.104211,147.546012,57.475220,37022,15925,1474580,17.147276,725.275536,0.045543,20,0.95
QS2MAODV,3,20,19,3,50.000000,0.100000,0.286775,12.069853,282.107567,133.766020,37022,10617,3020954,52.692467,735.647127,0.069290,20,0.95
QS2MAODV,4,20,19,3,50.000000,0.100000,0.319270,13.437474,339.890511,143.238791,37022,11820,2982558,46.728050,733.375334,0.062045,20,0.95
QS2MAODV,8,20,19,3,50.000000,0.100000,0.590163,24.838863,142.204880,46.393144,37022,21849,890078,7.544018,727.091984,0.033278,20,0.95
QS2MAODV,6,20,19,3,50.000000,0.100000,0.394603,16.608126,194.450136,90.487058,37022,14609,2706478,34.307593,735.735254,0.050362,20,0.95
QS2MAODV,7,20,19,3,50.000000,0.100000,0.240668,10.129263,361.470229,165.968383,37022,8910,2770210,57.575965,743.466667,0.083442,20,0.95
QS2MAODV,9,20,19,3,50.000000,0.100000,0.456999,19.234232,86.365720,44.718989,37022,16919,2085402,22.825554,737.779390,0.043607,20,0.95
QS2MAODV,10,20,19,3,50.000000,0.100000,0.272352,11.462779,141.174307,79.624087,37022,10083,1719568,31.581724,746.360833,0.074022,20,0.95
QS2MAODV,11,20,19,3,50.000000,0.100000,0.201745,8.491074,350.571951,151.477505,37022,7469,2934636,72.760893,743.214532,0.099507,20,0.95
QS2MAODV,13,20,19,3,50.000000,0.100000,0.331695,15.602824,109.233907,64.239181,37022,12280,2276454,34.329443,728.934606,0.059359,20,0.95
QS2MAODV,14,20,19,3,50.000000,0.100000,0.611528,25.738105,121.083944,46.332723,37022,22640,1211528,9.909763,738.104599,0.032602,20,0.95
QS2MAODV,12,20,19,3,50.000000,0.100000,0.312004,13.131663,286.331575,136.219582,37022,11551,3668468,58.812737,745.102767,0.064505,20,0.95
QS2MAODV,15,20,19,3,50.000000,0.100000,0.406731,17.118568,57.729161,38.038744,37022,15058,905490,11.135830,733.176453,0.048690,20,0.95
QS2MAODV,18,20,19,3,50.000000,0.100000,0.439036,18.478232,135.021228,63.010851,37022,16254,2625370,29.911384,744.580690,0.045809,20,0.95
QS2MAODV,16,20,19,3,50.000000,0.100000,0.302118,12.715579,140.205313,70.342930,37022,11185,3154608,52.229474,737.269818,0.065916,20,0.95
QS2MAODV,17,20,19,3,50.000000,0.100000,0.324078,13.639832,304.369854,176.679538,37022,11998,3186856,49.188075,744.827903,0.062079,20,0.95
